,path,conversion,path_count,conversion_rate,path_list
300,Online Display>Facebook>Instagram>Online Video>Online Display,1,1,1.0,"['Online Display', 'Facebook', 'Instagram', 'Online Video', 'Online Display']"
301,Online Display>Facebook>Instagram>Paid Search,2,5,0.4,"['Online Display', 'Facebook', 'Instagram', 'Paid Search']"
302,Online Display>Facebook>Online Display,7,184,0.03804347826086957,"['Online Display', 'Facebook', 'Online Display']"
303,Online Display>Facebook>Online Display>Facebook>Instagram,1,6,0.16666666666666666,"['Online Display', 'Facebook', 'Online Display', 'Facebook', 'Instagram']"
304,Online Display>Facebook>Online Display>Facebook>Paid Search>Online Display,1,2,0.5,"['Online Display', 'Facebook', 'Online Display', 'Facebook', 'Paid Search', 'Online Display']"
305,Online Display>Facebook>Online Display>Instagram>Paid Search>Online Display>Paid Search>Online Video>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Online Display>Facebook>Instagram,1,1,1.0,"['Online Display', 'Facebook', 'Online Display', 'Instagram', 'Paid Search', 'Online Display', 'Paid Search', 'Online Video', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Online Display', 'Facebook', 'Instagram']"
306,Online Display>Facebook>Online Video,1,22,0.045454545454545456,"['Online Display', 'Facebook', 'Online Video']"
307,Online Display>Facebook>Online Video>Paid Search,1,2,0.5,"['Online Display', 'Facebook', 'Online Video', 'Paid Search']"
308,Online Display>Facebook>Paid Search,3,46,0.06521739130434782,"['Online Display', 'Facebook', 'Paid Search']"
309,Online Display>Facebook>Paid Search>Facebook,1,13,0.07692307692307693,"['Online Display', 'Facebook', 'Paid Search', 'Facebook']"
310,Online Display>Facebook>Paid Search>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook,1,1,1.0,"['Online Display', 'Facebook', 'Paid Search', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
311,Online Display>Facebook>Paid Search>Facebook>Paid Search,1,2,0.5,"['Online Display', 'Facebook', 'Paid Search', 'Facebook', 'Paid Search']"
312,Online Display>Facebook>Paid Search>Instagram,1,5,0.2,"['Online Display', 'Facebook', 'Paid Search', 'Instagram']"
313,Online Display>Facebook>Paid Search>Instagram>Online Display,1,2,0.5,"['Online Display', 'Facebook', 'Paid Search', 'Instagram', 'Online Display']"
314,Online Display>Facebook>Paid Search>Instagram>Paid Search>Facebook>Paid Search,1,1,1.0,"['Online Display', 'Facebook', 'Paid Search', 'Instagram', 'Paid Search', 'Facebook', 'Paid Search']"
